   R(kpc),     dR(St.dev), V(km/s),    dV(St.dev)
   0.1145E-02  0.2604E-03  0.1203E+03  0.1805E+02
   0.1374E-02  0.3343E-03  0.1110E+03  0.1742E+02
   0.1648E-02  0.3979E-03  0.1024E+03  0.1665E+02
   0.1978E-02  0.4980E-03  0.9653E+02  0.1595E+02
   0.2374E-02  0.8600E-03  0.9379E+02  0.1843E+02
   0.3418E-02  0.1361E-02  0.9723E+02  0.3445E+02
   0.4102E-02  0.5947E-03  0.9791E+02  0.3015E+02
   0.4922E-02  0.6986E-03  0.9814E+02  0.2978E+02
   0.5907E-02  0.1854E-02  0.9832E+02  0.3305E+02
   0.1225E-01  0.2432E-02  0.1090E+03  0.4233E+02
   0.1470E-01  0.2285E-02  0.1115E+03  0.4196E+02
   0.1764E-01  0.4016E-02  0.1122E+03  0.4084E+02
   0.2116E-01  0.5801E-02  0.1049E+03  0.3444E+02
   0.2540E-01  0.6085E-02  0.1001E+03  0.2322E+02
   0.3048E-01  0.5996E-02  0.9809E+02  0.1582E+02
   0.3657E-01  0.7620E-02  0.9732E+02  0.1395E+02
   0.4389E-01  0.1257E-01  0.1038E+03  0.2368E+02
   0.5266E-01  0.1750E-01  0.1206E+03  0.3458E+02
   0.6320E-01  0.2159E-01  0.1336E+03  0.2885E+02
   0.7584E-01  0.1625E-01  0.1380E+03  0.2590E+02
   0.9100E-01  0.1505E-01  0.1397E+03  0.3075E+02
   0.1092E+00  0.2143E-01  0.1426E+03  0.3972E+02
   0.1310E+00  0.2875E-01  0.1468E+03  0.4843E+02
   0.1573E+00  0.4747E-01  0.1526E+03  0.5709E+02
   0.1887E+00  0.7413E-01  0.1827E+03  0.7364E+02
   0.2264E+00  0.7050E-01  0.2261E+03  0.6068E+02
   0.2717E+00  0.7135E-01  0.2433E+03  0.3982E+02
   0.3261E+00  0.9121E-01  0.2488E+03  0.2598E+02
   0.3913E+00  0.1063E+00  0.2506E+03  0.1632E+02
   0.4696E+00  0.1078E+00  0.2490E+03  0.1159E+02
   0.5635E+00  0.1175E+00  0.2449E+03  0.1133E+02
   0.6762E+00  0.1786E+00  0.2391E+03  0.1254E+02
   0.8114E+00  0.2356E+00  0.2296E+03  0.1199E+02
   0.9737E+00  0.2174E+00  0.2230E+03  0.8745E+01
   0.1168E+01  0.2365E+00  0.2186E+03  0.8265E+01
   0.1402E+01  0.2948E+00  0.2143E+03  0.8069E+01
   0.1683E+01  0.3913E+00  0.2107E+03  0.7305E+01
   0.2019E+01  0.4569E+00  0.2078E+03  0.6782E+01
   0.2423E+01  0.5035E+00  0.2073E+03  0.6888E+01
   0.2907E+01  0.5906E+00  0.2111E+03  0.9808E+01
   0.3489E+01  0.7303E+00  0.2186E+03  0.1249E+02
   0.4187E+01  0.9127E+00  0.2263E+03  0.1236E+02
   0.5024E+01  0.1103E+01  0.2325E+03  0.1302E+02
   0.6029E+01  0.1243E+01  0.2369E+03  0.1350E+02
   0.7235E+01  0.1312E+01  0.2377E+03  0.1559E+02
   0.8681E+01  0.1641E+01  0.2363E+03  0.2394E+02
   0.1042E+02  0.2208E+01  0.2371E+03  0.3561E+02
   0.1250E+02  0.2996E+01  0.2407E+03  0.4627E+02
   0.1500E+02  0.4180E+01  0.2468E+03  0.5477E+02
   0.1800E+02  0.5696E+01  0.2516E+03  0.6159E+02
   0.2160E+02  0.7459E+01  0.2511E+03  0.6812E+02
   0.2592E+02  0.9406E+01  0.2426E+03  0.7895E+02
   0.3111E+02  0.1126E+02  0.2260E+03  0.8703E+02
   0.3733E+02  0.1348E+02  0.2086E+03  0.8211E+02
   0.4479E+02  0.1499E+02  0.1850E+03  0.7533E+02
   0.5375E+02  0.1554E+02  0.1676E+03  0.6910E+02
   0.6450E+02  0.1791E+02  0.1780E+03  0.7856E+02
   0.7741E+02  0.1842E+02  0.2040E+03  0.1169E+03
   0.9289E+02  0.1995E+02  0.2020E+03  0.1428E+03
   0.1115E+03  0.2756E+02  0.1711E+03  0.1501E+03
   0.1338E+03  0.4060E+02  0.1350E+03  0.1448E+03
   0.1605E+03  0.6482E+02  0.1076E+03  0.1381E+03
   0.1926E+03  0.8107E+02  0.1136E+03  0.1511E+03
   0.2311E+03  0.8019E+02  0.1706E+03  0.1816E+03
   0.4793E+03  0.1460E+03  0.7146E+02  0.8391E+02
   0.5751E+03  0.1714E+03  0.9913E+02  0.1061E+03
   0.6902E+03  0.1327E+03  0.1245E+03  0.1062E+03
   0.8282E+03  0.1328E+03  0.1278E+03  0.1016E+03
   0.9938E+03  0.2222E+03  0.1353E+03  0.1115E+03
   0.1193E+04  0.2715E+03  0.1690E+03  0.1240E+03
   0.1431E+04  0.2978E+03  0.1967E+03  0.1204E+03
   0.1717E+04  0.4595E+03  0.2095E+03  0.1172E+03
